attribute_category,attribute_data_type,attribute_field_description,attribute_filterable,attribute_name,attribute_repeated,attribute_selectable,attribute_selectable_with,attribute_sortable,attribute_type_url
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>The highest CPC bid the automated bidding system is permitted to specify. This is a required field entered by the advertiser that sets the ceiling and specified in local micros.</td>,True,bidding_strategy.target_impression_share.cpc_bid_ceiling_micros,False,True,None,True,N/A
ATTRIBUTE,"ABSOLUTE_TOP_OF_PAGE,ANYWHERE_ON_PAGE,TOP_OF_PAGE,UNKNOWN,UNSPECIFIED",<td>The targeted location on the search results page.</td>,True,bidding_strategy.target_impression_share.location,False,True,None,True,google.ads.googleads.v14.enums.TargetImpressionShareLocationEnum.TargetImpressionShareLocation
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>The maximum CPM (cost-per-thousand viewable impressions) bid.</td>,True,ad_group.cpm_bid_micros,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>Output only. The ID of the insight.</td>,True,customer_search_term_insight.id,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the customer level search term insight. Customer level search term insight resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/customerSearchTermInsights/{category_id}</code></td>",True,customer_search_term_insight.resource_name,False,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,STRING,"<td>Output only. A list of recommendations to improve the ad strength. For example, a recommendation could be ""Your headlines are a little too similar. Try adding more distinct headlines."".</td>",False,ad_group_ad.action_items,True,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,"<td>The chosen fraction of ads to be shown in the targeted location in micros. For example, 1% equals 10,000.</td>",True,bidding_strategy.target_impression_share.location_fraction_micros,False,True,None,True,N/A
ATTRIBUTE,INT64,<td>Maximum bid limit that can be set by the bid strategy. The limit applies to all keywords managed by the strategy. This should only be set for portfolio bid strategies.</td>,True,bidding_strategy.target_roas.cpc_bid_ceiling_micros,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>The CPV (cost-per-view) bid.</td>,True,ad_group.cpv_bid_micros,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,BOOLEAN,"<td>Output only. Indicates if this ad was automatically added by Google Ads and not by a user. For example, this could happen when ads are automatically created as suggestions for new ads based on knowledge of how existing ads are performing.</td>",True,ad_group_ad.ad.added_by_google_ads,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Output only. The ad group ad to which the asset is linked.</td>,True,ad_group_ad_asset_view.ad_group_ad,False,True,None,False,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Required. Immutable. The asset which is linked to the customer.</td>,True,customer_asset.asset,False,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>Minimum bid limit that can be set by the bid strategy. The limit applies to all keywords managed by the strategy. This should only be set for portfolio bid strategies.</td>,True,bidding_strategy.target_roas.cpc_bid_floor_micros,False,True,None,True,N/A
ATTRIBUTE,DOUBLE,<td>Output only. The chosen revenue (based on conversion data) per unit of spend.</td>,True,bidding_strategy.target_roas.target_roas,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,"AGE_RANGE,AUDIENCE,GENDER,INCOME_RANGE,KEYWORD,PARENTAL_STATUS,PLACEMENT,TOPIC,UNKNOWN,UNSPECIFIED",<td>Allows advertisers to specify a targeting dimension on which to place absolute bids. This is only applicable for campaigns that target only the display network and not search.</td>,True,ad_group.display_custom_bid_dimension,False,True,None,True,google.ads.googleads.v14.enums.TargetingDimensionEnum.TargetingDimension
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,MESSAGE,<td>List of text assets for descriptions. When the ad serves the descriptions will be selected from this list.</td>,False,ad_group_ad.ad.app_ad.descriptions,True,True,None,False,google.ads.googleads.v14.common.AdTextAsset
ATTRIBUTE,RESOURCE_NAME,<td>Output only. The asset which is linked to the ad group ad.</td>,True,ad_group_ad_asset_view.asset,False,True,None,False,N/A
ATTRIBUTE,BOOLEAN,"<td>Output only. The status between the asset and the latest version of the ad. If true, the asset is linked to the latest version of the ad. If false, it means the link once existed but has been removed and is no longer present in the latest version of the ad.</td>",True,ad_group_ad_asset_view.enabled,False,True,None,True,N/A
ATTRIBUTE,"AD_IMAGE,BOOK_ON_GOOGLE,BUSINESS_LOGO,BUSINESS_NAME,CALL,CALLOUT,CALL_TO_ACTION_SELECTION,DESCRIPTION,HEADLINE,HOTEL_CALLOUT,HOTEL_PROPERTY,LANDSCAPE_LOGO,LEAD_FORM,LOGO,LONG_HEADLINE,MANDATORY_AD_TEXT,MARKETING_IMAGE,MEDIA_BUNDLE,MOBILE_APP,PORTRAIT_MARKETING_IMAGE,PRICE,PROMOTION,SITELINK,SQUARE_MARKETING_IMAGE,STRUCTURED_SNIPPET,UNKNOWN,UNSPECIFIED,VIDEO,YOUTUBE_VIDEO",<td>Output only. Role that the asset takes in the ad.</td>,True,ad_group_ad_asset_view.field_type,False,True,None,True,google.ads.googleads.v14.enums.AssetFieldTypeEnum.AssetFieldType
ATTRIBUTE,"AD_IMAGE,BOOK_ON_GOOGLE,BUSINESS_LOGO,BUSINESS_NAME,CALL,CALLOUT,CALL_TO_ACTION_SELECTION,DESCRIPTION,HEADLINE,HOTEL_CALLOUT,HOTEL_PROPERTY,LANDSCAPE_LOGO,LEAD_FORM,LOGO,LONG_HEADLINE,MANDATORY_AD_TEXT,MARKETING_IMAGE,MEDIA_BUNDLE,MOBILE_APP,PORTRAIT_MARKETING_IMAGE,PRICE,PROMOTION,SITELINK,SQUARE_MARKETING_IMAGE,STRUCTURED_SNIPPET,UNKNOWN,UNSPECIFIED,VIDEO,YOUTUBE_VIDEO",<td>Required. Immutable. Role that the asset takes for the customer link.</td>,True,customer_asset.field_type,False,True,None,True,google.ads.googleads.v14.enums.AssetFieldTypeEnum.AssetFieldType
