field_filterable,field_repeated,field_selectable,field_sortable,field_selectable_with,field_field_description,field_category,field_data_type,field_name,field_type_url
True,False,True,True,[B@5bcc59c8,Required. Immutable. The type of recommendation subscribed to.,ATTRIBUTE,"CALLOUT_ASSET,CALL_ASSET,CAMPAIGN_BUDGET,DISPLAY_EXPANSION_OPT_IN,DYNAMIC_IMAGE_EXTENSION_OPT_IN,ENHANCED_CPC_OPT_IN,FORECASTING_CAMPAIGN_BUDGET,FORECASTING_SET_TARGET_CPA,FORECASTING_SET_TARGET_ROAS,IMPROVE_PERFORMANCE_MAX_AD_STRENGTH,KEYWORD,KEYWORD_MATCH_TYPE,LOWER_TARGET_ROAS,MARGINAL_ROI_CAMPAIGN_BUDGET,MAXIMIZE_CLICKS_OPT_IN,MAXIMIZE_CONVERSIONS_OPT_IN,MIGRATE_DYNAMIC_SEARCH_ADS_CAMPAIGN_TO_PERFORMANCE_MAX,MOVE_UNUSED_BUDGET,OPTIMIZE_AD_ROTATION,PERFORMANCE_MAX_OPT_IN,RAISE_TARGET_CPA,RAISE_TARGET_CPA_BID_TOO_LOW,RESPONSIVE_SEARCH_AD,RESPONSIVE_SEARCH_AD_ASSET,RESPONSIVE_SEARCH_AD_IMPROVE_AD_STRENGTH,SEARCH_PARTNERS_OPT_IN,SET_TARGET_CPA,SET_TARGET_ROAS,SHOPPING_ADD_AGE_GROUP,SHOPPING_ADD_COLOR,SHOPPING_ADD_GENDER,SHOPPING_ADD_GTIN,SHOPPING_ADD_MORE_IDENTIFIERS,SHOPPING_ADD_PRODUCTS_TO_CAMPAIGN,SHOPPING_ADD_SIZE,SHOPPING_FIX_DISAPPROVED_PRODUCTS,SHOPPING_FIX_MERCHANT_CENTER_ACCOUNT_SUSPENSION_WARNING,SHOPPING_FIX_SUSPENDED_MERCHANT_CENTER_ACCOUNT,SHOPPING_MIGRATE_REGULAR_SHOPPING_CAMPAIGN_OFFERS_TO_PERFORMANCE_MAX,SHOPPING_TARGET_ALL_OFFERS,SITELINK_ASSET,TARGET_CPA_OPT_IN,TARGET_ROAS_OPT_IN,TEXT_AD,UNKNOWN,UNSPECIFIED,UPGRADE_LOCAL_CAMPAIGN_TO_PERFORMANCE_MAX,UPGRADE_SMART_SHOPPING_CAMPAIGN_TO_PERFORMANCE_MAX,USE_BROAD_MATCH_KEYWORD",recommendation_subscription.type,google.ads.googleads.v15.enums.RecommendationTypeEnum.RecommendationType
True,False,True,True,[B@3b0ace95,The Commercial KG MID for the brand.,ATTRIBUTE,STRING,shared_criterion.brand.entity_id,N/A
True,False,True,True,[B@354afdf7,Output only. The ID of the criterion. This field is ignored for mutates.,ATTRIBUTE,INT64,shared_criterion.criterion_id,N/A
True,False,True,True,[B@73a3d813,The match type of the keyword.,ATTRIBUTE,"BROAD,EXACT,PHRASE,UNKNOWN,UNSPECIFIED",shared_criterion.keyword.match_type,google.ads.googleads.v15.enums.KeywordMatchTypeEnum.KeywordMatchType
True,False,True,True,[B@4a18ddb6,The text of the keyword (at most 80 characters and 10 words).,ATTRIBUTE,STRING,shared_criterion.keyword.text,N/A
True,False,True,False,[B@270bcc06,The mobile app category constant resource name.,ATTRIBUTE,RESOURCE_NAME,shared_criterion.mobile_app_category.mobile_app_category_constant,N/A
True,False,True,True,[B@45cc2855,"A string that uniquely identifies a mobile application to Google Ads API. The format of this string is ""{platform}-{platform_native_id}"", where platform is ""1"" for iOS apps and ""2"" for Android apps, and where platform_native_id is the mobile application identifier native to the corresponding platform. For iOS, this native identifier is the 9 digit string that appears at the end of an App Store URL (for example, ""476943146"" for ""Flood-It! 2"" whose App Store link is ""http://itunes.apple.com/us/app/flood-it!-2/id476943146""). For Android, this native identifier is the application's package name (for example, ""com.labpixies.colordrips"" for ""Color Drips"" given Google Play link ""https://play.google.com/store/apps/details?id=com.labpixies.colordrips""). A well formed app id for Google Ads API would thus be ""1-476943146"" for iOS and ""2-com.labpixies.colordrips"" for Android. This field is required and must be set in CREATE operations.",ATTRIBUTE,STRING,shared_criterion.mobile_application.app_id,N/A
True,False,True,True,[B@284203bf,Name of this mobile application.,ATTRIBUTE,STRING,shared_criterion.mobile_application.name,N/A
True,False,True,True,[B@243b8e6c,"URL of the placement. For example, ""http://www.domain.com"".",ATTRIBUTE,STRING,shared_criterion.placement.url,N/A
True,False,True,False,[B@5d291d11,Immutable. The resource name of the shared criterion. Shared set resource names have the form: customers/{customer_id}/sharedCriteria/{shared_set_id}~{criterion_id},ATTRIBUTE,RESOURCE_NAME,shared_criterion.resource_name,N/A
True,False,True,False,[B@79831861,Immutable. The shared set to which the shared criterion belongs.,ATTRIBUTE,RESOURCE_NAME,shared_criterion.shared_set,N/A
True,False,True,True,[B@4164b315,Output only. The type of the criterion.,ATTRIBUTE,"AD_SCHEDULE,AGE_RANGE,APP_PAYMENT_MODEL,AUDIENCE,BRAND,BRAND_LIST,CARRIER,COMBINED_AUDIENCE,CONTENT_LABEL,CUSTOM_AFFINITY,CUSTOM_AUDIENCE,CUSTOM_INTENT,DEVICE,GENDER,INCOME_RANGE,IP_BLOCK,KEYWORD,KEYWORD_THEME,LANGUAGE,LISTING_GROUP,LISTING_SCOPE,LOCAL_SERVICE_ID,LOCATION,LOCATION_GROUP,MOBILE_APPLICATION,MOBILE_APP_CATEGORY,MOBILE_DEVICE,NEGATIVE_KEYWORD_LIST,OPERATING_SYSTEM_VERSION,PARENTAL_STATUS,PLACEMENT,PROXIMITY,SEARCH_THEME,TOPIC,UNKNOWN,UNSPECIFIED,USER_INTEREST,USER_LIST,WEBPAGE,YOUTUBE_CHANNEL,YOUTUBE_VIDEO",shared_criterion.type,google.ads.googleads.v15.enums.CriterionTypeEnum.CriterionType
True,False,True,True,[B@39d40dbb,The YouTube uploader channel id or the channel code of a YouTube channel.,ATTRIBUTE,STRING,shared_criterion.youtube_channel.channel_id,N/A
True,False,True,True,[B@2c005e05,YouTube video id as it appears on the YouTube watch page.,ATTRIBUTE,STRING,shared_criterion.youtube_video.video_id,N/A
True,False,True,True,[B@4d210bf4,Output only. The locale of the qualifying question.,ATTRIBUTE,STRING,qualifying_question.locale,N/A
True,False,True,True,[B@2939e55e,Output only. The id of the qualifying question.,ATTRIBUTE,INT64,qualifying_question.qualifying_question_id,N/A
True,False,True,False,[B@30199c17,Output only. The resource name of the qualifying question. 'qualifyingQuestions/{qualifyingQuestionId}',ATTRIBUTE,RESOURCE_NAME,qualifying_question.resource_name,N/A
True,False,True,True,[B@1ec71c67,Output only. The qualifying question.,ATTRIBUTE,STRING,qualifying_question.text,N/A
True,False,True,False,[B@5bfccae0,"Output only. The ad group targeted by this recommendation. This will be set only when the recommendation affects a single ad group. This field will be set for the following recommendation types: KEYWORD, OPTIMIZE_AD_ROTATION, RESPONSIVE_SEARCH_AD, RESPONSIVE_SEARCH_AD_ASSET, TEXT_AD",ATTRIBUTE,RESOURCE_NAME,recommendation.ad_group,N/A
False,False,True,False,[B@3d89c7d4,Output only. The call asset recommendation.,ATTRIBUTE,MESSAGE,recommendation.call_asset_recommendation,google.ads.googleads.v15.resources.Recommendation.CallAssetRecommendation
False,False,True,False,[B@418c1d56,Output only. The callout asset recommendation.,ATTRIBUTE,MESSAGE,recommendation.callout_asset_recommendation,google.ads.googleads.v15.resources.Recommendation.CalloutAssetRecommendation
True,False,True,False,[B@678e0524,"Output only. The campaign targeted by this recommendation. This field will be set for the following recommendation types: CALL_EXTENSION, CALLOUT_EXTENSION, ENHANCED_CPC_OPT_IN, USE_BROAD_MATCH_KEYWORD, KEYWORD, KEYWORD_MATCH_TYPE, UPGRADE_LOCAL_CAMPAIGN_TO_PERFORMANCE_MAX, MAXIMIZE_CLICKS_OPT_IN, MAXIMIZE_CONVERSIONS_OPT_IN, OPTIMIZE_AD_ROTATION, RESPONSIVE_SEARCH_AD, RESPONSIVE_SEARCH_AD_ASSET, SEARCH_PARTNERS_OPT_IN, DISPLAY_EXPANSION_OPT_IN, SITELINK_EXTENSION, TARGET_CPA_OPT_IN, TARGET_ROAS_OPT_IN, TEXT_AD, UPGRADE_SMART_SHOPPING_CAMPAIGN_TO_PERFORMANCE_MAX, RAISE_TARGET_CPA_BID_TOO_LOW, FORECASTING_SET_TARGET_ROAS, SHOPPING_ADD_AGE_GROUP, SHOPPING_ADD_COLOR, SHOPPING_ADD_GENDER, SHOPPING_ADD_SIZE, SHOPPING_ADD_GTIN, SHOPPING_ADD_MORE_IDENTIFIERS, SHOPPING_ADD_PRODUCTS_TO_CAMPAIGN, SHOPPING_FIX_DISAPPROVED_PRODUCTS, SHOPPING_MIGRATE_REGULAR_SHOPPING_CAMPAIGN_OFFERS_TO_PERFORMANCE_MAX, DYNAMIC_IMAGE_EXTENSION_OPT_IN, RAISE_TARGET_CPA, LOWER_TARGET_ROAS, FORECASTING_SET_TARGET_CPA, SET_TARGET_CPA, SET_TARGET_ROAS",ATTRIBUTE,RESOURCE_NAME,recommendation.campaign,N/A
True,False,True,False,[B@5a9878ff,"Output only. The budget targeted by this recommendation. This will be set only when the recommendation affects a single campaign budget. This field will be set for the following recommendation types: CAMPAIGN_BUDGET, FORECASTING_CAMPAIGN_BUDGET, MARGINAL_ROI_CAMPAIGN_BUDGET, MOVE_UNUSED_BUDGET",ATTRIBUTE,RESOURCE_NAME,recommendation.campaign_budget,N/A
False,False,True,False,[B@295ca31f,Output only. The campaign budget recommendation.,ATTRIBUTE,MESSAGE,recommendation.campaign_budget_recommendation,google.ads.googleads.v15.resources.Recommendation.CampaignBudgetRecommendation
